2018-04-13 01:34:42.579 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:34:42.879 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 01:36:00.172 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:36:00.462 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 01:36:29.761 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:36:30.215 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 01:45:29.443 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:45:29.726 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 01:46:33.175 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:46:33.925 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 01:47:38.480 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 01:47:39.175 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:12:38.993 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:12:39.586 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:15:21.564 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:15:22.194 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:17:46.409 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:17:47.135 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:19:08.072 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:19:08.386 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:20:56.325 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:20:56.662 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:22:42.813 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:22:43.673 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:24:20.878 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:24:21.174 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

2018-04-13 02:25:48.144 INFO  DefaultFactory Logging to 'C:\Users\Freedom.Nxumalo\source\repos\Sibusiso.ContactDetails.Service\Sibusiso.ServiceBus.Publisher\bin\Debug\netcoreapp2.0\' with level Info
2018-04-13 02:25:48.800 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-04-12'.

